trial,features,causal learner,mean sq error,r2 Y~Φ(X)
0,initial,S-L. w/ Ridge,0.1411830679519138,0.9080355539447932
0,initial,S-L. w/ LGBM,0.1808936713010069,0.9080355539447932
0,initial,T-L. w/ Ridge,1.1801254009314062,0.9080355539447932
0,initial,T-L. w/ LGBM,1.5393478111496663,0.9080355539447932
0,initial,X-L. w/ Ridge,1.053597764937894,0.9080355539447932
0,initial,X-L. w/ LGBM,1.003108613550776,0.9080355539447932
0,initial,Causal Forest,0.3621998943770422,0.9080355539447932
0,trans. fit.-0,S-L. w/ Ridge,0.0983282161484567,0.8601920448224054
0,trans. fit.-0,S-L. w/ LGBM,0.1038084522005122,0.8601920448224054
0,trans. fit.-0,T-L. w/ Ridge,0.2357048729280146,0.8601920448224054
0,trans. fit.-0,T-L. w/ LGBM,0.4940516354709794,0.8601920448224054
0,trans. fit.-0,X-L. w/ Ridge,0.2099897553597818,0.8601920448224054
0,trans. fit.-0,X-L. w/ LGBM,0.3246509294485984,0.8601920448224054
0,trans. fit.-0,Causal Forest,0.1618742020975422,0.8601920448224054
0,trans. fit.-1,S-L. w/ Ridge,0.1075477120470912,0.885975029422621
0,trans. fit.-1,S-L. w/ LGBM,0.1152627397931488,0.885975029422621
0,trans. fit.-1,T-L. w/ Ridge,0.3216510218432795,0.885975029422621
0,trans. fit.-1,T-L. w/ LGBM,0.6126959778675426,0.885975029422621
0,trans. fit.-1,X-L. w/ Ridge,0.2846990523204947,0.885975029422621
0,trans. fit.-1,X-L. w/ LGBM,0.4893072130869103,0.885975029422621
0,trans. fit.-1,Causal Forest,0.1783689940099964,0.885975029422621
0,trans. fit.-10,S-L. w/ Ridge,0.0875623657543995,0.8909712514948558
0,trans. fit.-10,S-L. w/ LGBM,0.121642340655876,0.8909712514948558
0,trans. fit.-10,T-L. w/ Ridge,0.3528864712526999,0.8909712514948558
0,trans. fit.-10,T-L. w/ LGBM,0.5091682641726613,0.8909712514948558
0,trans. fit.-10,X-L. w/ Ridge,0.2968870895679779,0.8909712514948558
0,trans. fit.-10,X-L. w/ LGBM,0.3219493269730871,0.8909712514948558
0,trans. fit.-10,Causal Forest,0.1762218882104023,0.8909712514948558
0,trans. fit.-100,S-L. w/ Ridge,0.1076775865857015,0.8723798299579174
0,trans. fit.-100,S-L. w/ LGBM,0.1938711112709915,0.8723798299579174
0,trans. fit.-100,T-L. w/ Ridge,0.3808632968279283,0.8723798299579174
