trial,features,causal learner,mean sq error,r2 Y~Φ(X)
0,initial,S-L. w/ Ridge,0.0361620082157215,0.9144912006382658
0,initial,S-L. w/ LGBM,0.218472022293692,0.9144912006382658
0,initial,T-L. w/ Ridge,0.2340354847966276,0.9144912006382658
0,initial,T-L. w/ LGBM,0.9249050713513406,0.9144912006382658
0,initial,X-L. w/ Ridge,0.2192356394234861,0.9144912006382658
0,initial,X-L. w/ LGBM,0.472479267497452,0.9144912006382658
0,initial,Causal Forest,0.0209820692566814,0.9144912006382658
0,trans. fit.-0,S-L. w/ Ridge,0.0306912312641579,0.9334386053942222
0,trans. fit.-0,S-L. w/ LGBM,0.149990848993402,0.9334386053942222
0,trans. fit.-0,T-L. w/ Ridge,0.1148314198882602,0.9334386053942222
0,trans. fit.-0,T-L. w/ LGBM,0.5676993928797115,0.9334386053942222
0,trans. fit.-0,X-L. w/ Ridge,0.1128441384386847,0.9334386053942222
0,trans. fit.-0,X-L. w/ LGBM,0.3156484510495264,0.9334386053942222
0,trans. fit.-0,Causal Forest,0.0375766784825898,0.9334386053942222
0,trans. fit.-1,S-L. w/ Ridge,0.0566293032660423,0.9278967964294916
0,trans. fit.-1,S-L. w/ LGBM,0.2661247055030888,0.9278967964294916
0,trans. fit.-1,T-L. w/ Ridge,0.1578043464907403,0.9278967964294916
0,trans. fit.-1,T-L. w/ LGBM,0.9003027423430365,0.9278967964294916
0,trans. fit.-1,X-L. w/ Ridge,0.1441106719811845,0.9278967964294916
0,trans. fit.-1,X-L. w/ LGBM,0.4125031039272808,0.9278967964294916
0,trans. fit.-1,Causal Forest,0.0346065292135764,0.9278967964294916
0,trans. fit.-10,S-L. w/ Ridge,0.0361769482267312,0.9340999527986132
0,trans. fit.-10,S-L. w/ LGBM,0.2920441625075379,0.9340999527986132
0,trans. fit.-10,T-L. w/ Ridge,0.118623431460206,0.9340999527986132
0,trans. fit.-10,T-L. w/ LGBM,0.7848774751785106,0.9340999527986132
0,trans. fit.-10,X-L. w/ Ridge,0.1010888358679877,0.9340999527986132
0,trans. fit.-10,X-L. w/ LGBM,0.3745116836464645,0.9340999527986132
0,trans. fit.-10,Causal Forest,0.0498156088893572,0.9340999527986132
0,trans. fit.-100,S-L. w/ Ridge,0.0352910672248719,0.934561774382817
0,trans. fit.-100,S-L. w/ LGBM,0.2149048354220686,0.934561774382817
0,trans. fit.-100,T-L. w/ Ridge,0.1257137840617175,0.934561774382817
0,trans. fit.-100,T-L. w/ LGBM,0.6669969221507039,0.934561774382817
0,trans. fit.-100,X-L. w/ Ridge,0.1041133526181225,0.934561774382817
0,trans. fit.-100,X-L. w/ LGBM,0.3717520785621636,0.934561774382817
0,trans. fit.-100,Causal Forest,0.0432483347749639,0.934561774382817
0,no fitness,S-L. w/ Ridge,0.0322151299613432,0.9256744165140188
0,no fitness,S-L. w/ LGBM,0.1512029494906333,0.9256744165140188
0,no fitness,T-L. w/ Ridge,0.1530780423969727,0.9256744165140188
0,no fitness,T-L. w/ LGBM,0.6200493177129868,0.9256744165140188
0,no fitness,X-L. w/ Ridge,0.141570870224767,0.9256744165140188
0,no fitness,X-L. w/ LGBM,0.3708120928551098,0.9256744165140188
0,no fitness,Causal Forest,0.0393151610346466,0.9256744165140188
0,relu,S-L. w/ Ridge,0.021612727899292,0.9142714008493532
0,relu,S-L. w/ LGBM,0.1701562292858149,0.9142714008493532
0,relu,T-L. w/ Ridge,0.0467434170757575,0.9142714008493532
0,relu,T-L. w/ LGBM,0.5752195468437791,0.9142714008493532
0,relu,X-L. w/ Ridge,0.0436828701371605,0.9142714008493532
0,relu,X-L. w/ LGBM,0.3242154470267465,0.9142714008493532
0,relu,Causal Forest,0.0451360504271077,0.9142714008493532
0,elu,S-L. w/ Ridge,0.0479707297352975,0.939195059641202
0,elu,S-L. w/ LGBM,0.1672596249030994,0.939195059641202
0,elu,T-L. w/ Ridge,0.1782814685939684,0.939195059641202
0,elu,T-L. w/ LGBM,0.6185308746684466,0.939195059641202
0,elu,X-L. w/ Ridge,0.1309500455977,0.939195059641202
0,elu,X-L. w/ LGBM,0.3314745299549653,0.939195059641202
0,elu,Causal Forest,0.050404038726749,0.939195059641202
1,initial,S-L. w/ Ridge,0.0269175607703244,0.917362510863912
1,initial,S-L. w/ LGBM,0.2946633371203218,0.917362510863912
1,initial,T-L. w/ Ridge,0.2448321438756875,0.917362510863912
1,initial,T-L. w/ LGBM,0.530872637009947,0.917362510863912
1,initial,X-L. w/ Ridge,0.2300019178542194,0.917362510863912
1,initial,X-L. w/ LGBM,0.4431316516253101,0.917362510863912
1,initial,Causal Forest,0.0603636537731143,0.917362510863912
1,trans. fit.-0,S-L. w/ Ridge,0.0262151728668028,0.944194190079272
1,trans. fit.-0,S-L. w/ LGBM,0.1836429450795818,0.944194190079272
1,trans. fit.-0,T-L. w/ Ridge,0.1719651686720837,0.944194190079272
1,trans. fit.-0,T-L. w/ LGBM,0.5047421092134934,0.944194190079272
1,trans. fit.-0,X-L. w/ Ridge,0.155031611107265,0.944194190079272
1,trans. fit.-0,X-L. w/ LGBM,0.3708528460219073,0.944194190079272
1,trans. fit.-0,Causal Forest,0.0299720735657007,0.944194190079272
1,trans. fit.-1,S-L. w/ Ridge,0.0347745254737109,0.9254772231258884
1,trans. fit.-1,S-L. w/ LGBM,0.2456781852512493,0.9254772231258884
1,trans. fit.-1,T-L. w/ Ridge,0.2109535954205352,0.9254772231258884
1,trans. fit.-1,T-L. w/ LGBM,0.4586563728619707,0.9254772231258884
1,trans. fit.-1,X-L. w/ Ridge,0.1716340299476811,0.9254772231258884
1,trans. fit.-1,X-L. w/ LGBM,0.3289730320578251,0.9254772231258884
1,trans. fit.-1,Causal Forest,0.0463698157135283,0.9254772231258884
1,trans. fit.-10,S-L. w/ Ridge,0.0317568966036006,0.931753624993528
1,trans. fit.-10,S-L. w/ LGBM,0.1939761198058748,0.931753624993528
1,trans. fit.-10,T-L. w/ Ridge,0.1331357047378569,0.931753624993528
1,trans. fit.-10,T-L. w/ LGBM,0.5991514533721598,0.931753624993528
1,trans. fit.-10,X-L. w/ Ridge,0.1406529197020597,0.931753624993528
1,trans. fit.-10,X-L. w/ LGBM,0.3918415940009491,0.931753624993528
1,trans. fit.-10,Causal Forest,0.0461030938224029,0.931753624993528
1,trans. fit.-100,S-L. w/ Ridge,0.0297419686206473,0.9425921023571068
1,trans. fit.-100,S-L. w/ LGBM,0.1924448990150587,0.9425921023571068
